"stage_seq","stage_exrates_ptha18","stage_exrates_rs_simple"
0.1,0.0339216022118537,0.036738192925876
0.2,0.0176698898920458,0.0177890533609462
0.3,0.0115828403528712,0.0105167405757506
0.4,0.00844132806179999,0.00784146265018854
0.5,0.00657593011781439,0.00524354758121907
0.6,0.00529965096128545,0.00354783762752938
0.7,0.00442416434538358,0.00244436480379841
0.8,0.00375062222419414,0.00183039233085827
0.9,0.00325483565423056,0.00143587872068534
1,0.00284370330046287,0.00136625231863012
1.1,0.00253447573136326,0.00102585878251321
1.2,0.0022636081093668,0.00102585878251321
1.3,0.00201832495998699,0.000979635627393466
1.4,0.00182491386072891,0.000804072096333599
1.5,0.00164993911959516,0.000757848941213859
1.6,0.0014985133934937,0.000757848941213859
1.7,0.00138771248616245,0.000757848941213859
1.8,0.00127512267685544,0.000757848941213859
1.9,0.00116750509120905,0.000757848941213859
2,0.00107640783307272,0.000757848941213859
2.1,0.00099077490464733,0.000757848941213859
2.2,0.000916003749121198,0.000736334460689868
2.3,0.000859935226198179,0.000736334460689868
2.4,0.000817931626501814,0.000714819980165877
2.5,0.000772083977067687,0.000512939492937526
2.6,0.000728799218566571,0.000512939492937526
2.7,0.000692175204444597,0.000512939492937526
2.8,0.000647933713649631,0.000512939492937526
2.9,0.000611709547899889,0.000512939492937526
3,0.000579931825683439,0.000512939492937526
3.1,0.000551607906384762,0.000512939492937526
3.2,0.000520778399672856,0.000343784330289472
3.3,0.000492990393392181,0.000343784330289472
3.4,0.000458988408036939,0.000322269849765481
3.5,0.000430523141640782,0.000322269849765481
3.6,0.000405987564725768,0.000322269849765481
3.7,0.000386694664531982,0.00022065787835185
3.8,0.000371147001273873,0.00022065787835185
3.9,0.000343079057757971,0.00022065787835185
4,0.000328276945858241,0.00022065787835185
4.1,0.000315505282586443,0.00022065787835185
4.2,0.000304524910443783,0.00022065787835185
4.3,0.000291200306896156,0.000199143397827859
4.4,0.00027522278257724,0.000199143397827859
4.5,0.000257917646099719,0.000199143397827859
4.6,0.000250504246858416,0.000199143397827859
4.7,0.000235044118252177,0.000199143397827859
4.8,0.000223668964078808,0.000199143397827859
4.9,0.000213604299049367,0.000199143397827859
5,0.000199081826605427,0.000199143397827859
5.1,0.000188256114714798,0.000199143397827859
5.2,0.000178776854742894,0.000199143397827859
5.3,0.000171979165924483,0.000199143397827859
5.4,0.000162781567740535,0.000199143397827859
5.5,0.000156039847513919,0.000199143397827859
5.6,0.000149205566937446,0.000199143397827859
5.7,0.000142847316104713,0.000199143397827859
5.8,0.000136419331798621,0.000199143397827859
5.9,0.000132393620832055,0.000199143397827859
6,0.000124911079409633,0.000199143397827859
6.1,0.000115473878866327,2.99882351798055e-05
6.2,0.000108863500456172,2.99882351798055e-05
6.3,0.000105369500441918,2.99882351798055e-05
6.4,0.000100193617129658,2.99882351798055e-05
6.5,9.82502927138196e-05,2.99882351798055e-05
6.6,9.32619249694447e-05,2.99882351798055e-05
6.7,9.0688823790552e-05,2.99882351798055e-05
6.8,8.6774423425145e-05,2.99882351798055e-05
6.9,8.19224843275667e-05,2.99882351798055e-05
7,7.93875382903863e-05,2.99882351798055e-05
7.1,7.56855677969238e-05,2.99882351798055e-05
7.2,7.14463220872811e-05,2.99882351798055e-05
7.3,6.9729485067747e-05,2.99882351798055e-05
7.4,6.73814020319767e-05,2.99882351798055e-05
7.5,6.52632481963049e-05,2.99882351798055e-05
7.6,6.17024831958299e-05,2.99882351798055e-05
7.7,6.01675366404569e-05,2.99882351798055e-05
7.8,5.80069081550412e-05,2.99882351798055e-05
7.9,5.67704264687734e-05,2.99882351798055e-05
8,5.4453441759751e-05,2.99882351798055e-05
8.1,5.37489085889839e-05,2.99882351798055e-05
8.2,5.23410067443234e-05,2.99882351798055e-05
8.3,5.01943306602345e-05,2.99882351798055e-05
8.4,4.77803686601956e-05,2.99882351798055e-05
8.5,4.63683527082597e-05,2.99882351798055e-05
8.6,4.5104904137529e-05,2.99882351798055e-05
8.7,4.12364051388131e-05,2.99882351798055e-05
8.8,4.0460044841479e-05,2.99882351798055e-05
8.9,3.92349859386439e-05,2.99882351798055e-05
9,3.74222000620891e-05,2.99882351798055e-05
9.1,3.67364425804176e-05,2.99882351798055e-05
9.2,3.55862642063759e-05,2.99882351798055e-05
9.3,3.46714219680465e-05,2.99882351798055e-05
9.4,3.43643247356801e-05,2.99882351798055e-05
9.5,3.31385743519785e-05,2.99882351798055e-05
9.6,2.98635758819708e-05,2.99882351798055e-05
9.7,2.8476523651225e-05,2.99882351798055e-05
9.8,2.69662256275035e-05,2.99882351798055e-05
9.9,2.48639748507567e-05,0
10,2.35723923224924e-05,0
10.1,2.16077890690496e-05,0
10.2,2.13924974174562e-05,0
10.3,1.95954487055074e-05,0
10.4,1.95954487055074e-05,0
10.5,1.94918984710415e-05,0
10.6,1.92292890497747e-05,0
10.7,1.84639767764384e-05,0
10.8,1.79478600337686e-05,0
10.9,1.76591956222736e-05,0
11,1.74909887204917e-05,0
11.1,1.6929972371719e-05,0
11.2,1.54945374587344e-05,0
11.3,1.54945374587344e-05,0
11.4,1.48937991206105e-05,0
11.5,1.43994124882744e-05,0
11.6,1.36625675834186e-05,0
11.7,1.31948395183932e-05,0
11.8,1.07108221602435e-05,0
11.9,9.68408439730943e-06,0
12,9.12952934057369e-06,0
12.1,8.97990624532073e-06,0
12.2,8.73817608141923e-06,0
12.3,8.43556682334859e-06,0
12.4,8.17255846583848e-06,0
12.5,7.94299748495809e-06,0
12.6,7.83351169672906e-06,0
12.7,7.31178929143878e-06,0
12.8,7.0564936756886e-06,0
12.9,6.95335912042469e-06,0
13,6.95335912042469e-06,0
13.1,6.59135879532027e-06,0
13.2,6.29105834556723e-06,0
13.3,6.29105834556723e-06,0
13.4,5.98066640211083e-06,0
13.5,5.98066640211083e-06,0
13.6,4.62378584957042e-06,0
13.7,4.34658282534858e-06,0
13.8,4.15669619981944e-06,0
13.9,4.15669619981944e-06,0
14,3.74704306308646e-06,0
14.1,3.48564704133802e-06,0
14.2,3.48564704133802e-06,0
14.3,3.38728079728658e-06,0
14.4,3.38728079728658e-06,0
14.5,3.38728079728658e-06,0
14.6,3.38728079728658e-06,0
14.7,3.38728079728658e-06,0
14.8,3.38728079728658e-06,0
14.9,3.24433174300661e-06,0
15,3.24433174300661e-06,0
15.1,3.11596551896263e-06,0
15.2,3.11596551896263e-06,0
15.3,3.11596551896263e-06,0
15.4,2.92106659381808e-06,0
15.5,2.68190101708392e-06,0
15.6,2.68190101708392e-06,0
15.7,2.56330046104424e-06,0
15.8,2.56330046104424e-06,0
15.9,2.56330046104424e-06,0
16,2.56330046104424e-06,0
16.1,2.4224648916057e-06,0
16.2,2.4224648916057e-06,0
16.3,2.20798875116666e-06,0
16.4,2.0585801297526e-06,0
16.5,2.0585801297526e-06,0
16.6,2.0585801297526e-06,0
16.7,2.0585801297526e-06,0
16.8,2.0585801297526e-06,0
16.9,2.0585801297526e-06,0
17,2.0585801297526e-06,0
17.1,2.0585801297526e-06,0
17.2,2.0585801297526e-06,0
17.3,1.8726143211985e-06,0
17.4,1.8726143211985e-06,0
17.5,1.8726143211985e-06,0
17.6,1.8726143211985e-06,0
17.7,1.8726143211985e-06,0
17.8,1.8726143211985e-06,0
17.9,1.8726143211985e-06,0
18,1.8726143211985e-06,0
18.1,1.72154019089967e-06,0
18.2,1.72154019089967e-06,0
18.3,1.72154019089967e-06,0
18.4,1.72154019089967e-06,0
18.5,1.72154019089967e-06,0
18.6,1.72154019089967e-06,0
18.7,1.72154019089967e-06,0
18.8,1.72154019089967e-06,0
18.9,5.30715669808288e-07,0
19,5.30715669808288e-07,0
19.1,5.30715669808288e-07,0
19.2,5.30715669808288e-07,0
19.3,5.30715669808288e-07,0
19.4,4.10418303867034e-07,0
19.5,4.10418303867034e-07,0
19.6,4.10418303867034e-07,0
19.7,4.10418303867034e-07,0
19.8,4.10418303867034e-07,0
19.9,4.10418303867034e-07,0
20,4.10418303867034e-07,0
